feature,n_cycles,ic_mean,ic_median,ic_t,pearson_mean,spread_bps,spread_pos_pct,offset,label
vwap_slope_96,1620,-0.0360371135763986,-0.035234646238616746,-6.830394948310814,-0.02613181278849232,-12.26343086840194,0.44074074074074077,0,feature_vwap_slope_96
vwap_slope_96,1620,-0.03841918544466213,-0.03840855684304352,-7.147031172079486,-0.02398532273953703,-10.017473670141197,0.45185185185185184,1,feature_vwap_slope_96
vwap_slope_96,1620,-0.037001365870855674,-0.04050117494530428,-6.790844138193429,-0.022305439090326472,-7.461092931326525,0.4623456790123457,2,feature_vwap_slope_96
vwap_slope_96,1620,-0.03635269308998581,-0.034124058017988824,-6.653413738807605,-0.020267519876280022,-5.438988347112397,0.4537037037037037,3,feature_vwap_slope_96
vwap_slope_96,1620,-0.03937777178827566,-0.0410926991329714,-7.190383878675127,-0.019783939881175782,-5.539649812748403,0.45123456790123456,4,feature_vwap_slope_96
vwap_slope_96,1620,-0.038932649867008694,-0.04189287740053481,-7.157424881257387,-0.01984570889272627,-4.653641820248263,0.45925925925925926,5,feature_vwap_slope_96
vwap_slope_96,1620,-0.042842314770487104,-0.0451341058261081,-7.93397470269417,-0.022463781973809827,-7.259357047375338,0.4617283950617284,6,feature_vwap_slope_96
vwap_slope_96,1620,-0.04408449915668041,-0.04424276800907544,-8.20228164179188,-0.023295671341858105,-7.910344021408646,0.4617283950617284,7,feature_vwap_slope_96
vwap_slope_96,1620,-0.046105618073174405,-0.051292439834697355,-8.668009095082528,-0.023818500298406677,-7.408310724371745,0.4419753086419753,8,feature_vwap_slope_96
vwap_slope_96,1620,-0.04352579661973302,-0.04772708856656674,-8.242050462729917,-0.022628954778976126,-4.559570737532628,0.4648148148148148,9,feature_vwap_slope_96
vwap_slope_96,1620,-0.036154717274755915,-0.037748156551332956,-6.809528470760825,-0.01915322695854303,-2.5810303462140354,0.46358024691358024,10,feature_vwap_slope_96
vwap_slope_96,1620,-0.035349713787946734,-0.03532938983874888,-6.592861314196204,-0.01879151445708971,-2.1818980236112338,0.4703703703703704,11,feature_vwap_slope_96
vwap_slope_96,1620,-0.03100909271472793,-0.035734543391945546,-5.792304803655418,-0.016133858432660405,-0.18519866083875114,0.4802469135802469,12,feature_vwap_slope_96
vwap_slope_96,1620,-0.03195022232390288,-0.03362774491532291,-6.044881426725443,-0.0157737283796647,1.7695138804706527,0.5006172839506173,13,feature_vwap_slope_96
vwap_slope_96,1620,-0.03276662632788188,-0.03773600194473706,-6.26591492648406,-0.018292947985793267,2.2001326387311204,0.4925925925925926,14,feature_vwap_slope_96
vwap_slope_96,1620,-0.03299813610077777,-0.0382525727250628,-6.211598536027755,-0.02020982974093967,-9.582194699328623,0.4703703703703704,15,feature_vwap_slope_96
vwap_slope_96,1620,-0.03426729481768928,-0.032898468519568916,-6.549876717630325,-0.01948356878062088,-4.587736547434772,0.46296296296296297,16,feature_vwap_slope_96
vwap_slope_96,1620,-0.03411758822566215,-0.03480269021959323,-6.564188966344231,-0.019337614179754395,-2.9973281615310245,0.4679012345679012,17,feature_vwap_slope_96
vwap_slope_96,1620,-0.03224713541474758,-0.029657240093995625,-6.208392893043324,-0.016988028548673102,-0.39237275123596194,0.4759259259259259,18,feature_vwap_slope_96
vwap_slope_96,1620,-0.03286674239482923,-0.025897415120330607,-6.314922557721068,-0.015943988583742696,-1.660121148015246,0.48518518518518516,19,feature_vwap_slope_96
vwap_slope_96,1620,-0.03187183149384799,-0.028684871566323638,-6.119313931366072,-0.015892465446684125,-3.841321873076168,0.4722222222222222,20,feature_vwap_slope_96
vwap_slope_96,1620,-0.03118039599495479,-0.027388380196094325,-5.973690697345311,-0.014068537464876343,-3.6530747922114384,0.47469135802469137,21,feature_vwap_slope_96
vwap_slope_96,1620,-0.02842577955155763,-0.021700024309213195,-5.425659843300564,-0.013630615023356394,-5.13371620858893,0.48641975308641977,22,feature_vwap_slope_96
vwap_slope_96,1620,-0.02821115859144695,-0.02066283121302974,-5.368335451703177,-0.013226643575173004,-0.7991148165714593,0.48641975308641977,23,feature_vwap_slope_96
vwap_slope_96,1620,-0.03110419295179752,-0.026740134510979664,-5.95396610642557,-0.014781046252620696,-3.570578443856887,0.4765432098765432,24,feature_vwap_slope_96
vwap_slope_96,1620,-0.030542917667866643,-0.026740134510979667,-5.7464090679779645,-0.0149449276955759,-4.20609769894753,0.47160493827160493,25,feature_vwap_slope_96
vwap_slope_96,1620,-0.03166391714697396,-0.023579936796045704,-5.884309348297949,-0.015504424102502974,-3.167633028089264,0.47469135802469137,26,feature_vwap_slope_96
vwap_slope_96,1620,-0.03240123487201284,-0.02631472328012317,-6.043070645954292,-0.01559882761306682,-4.692306181604479,0.47469135802469137,27,feature_vwap_slope_96
vwap_slope_96,1620,-0.03172598896582554,-0.026900170164492348,-5.946452415405749,-0.01232445877056395,-2.1281619323624503,0.4777777777777778,28,feature_vwap_slope_96
vwap_slope_96,1620,-0.0329613183209059,-0.03351118429557444,-6.231833862986211,-0.014677267529907454,-3.3815810547934637,0.4679012345679012,29,feature_vwap_slope_96
vwap_slope_96,1620,-0.031799141867322,-0.03257434567701159,-6.101194781594357,-0.012572123321717612,-4.887942796577642,0.4648148148148148,30,feature_vwap_slope_96
vwap_slope_96,1620,-0.03272635582387325,-0.029657240093995625,-6.294110537388558,-0.013258929621675615,-0.4311960366037157,0.4845679012345679,31,feature_vwap_slope_96
vwap_slope_96,1620,-0.03269191258891414,-0.03933635847986387,-6.2829012126540915,-0.014284812792049685,-0.3569693303402559,0.47716049382716047,32,feature_vwap_slope_96
vwap_slope_96,1620,-0.034355557480485334,-0.03748683250952112,-6.599647370577925,-0.014767648982069058,-4.413834370065619,0.4703703703703704,33,feature_vwap_slope_96
vwap_slope_96,1620,-0.03360071242490737,-0.036396969451422095,-6.423834659206314,-0.013444404304444707,-5.083132931332529,0.46296296296296297,34,feature_vwap_slope_96
vwap_slope_96,1620,-0.03217416227189625,-0.03192609999189693,-6.206203185219285,-0.013419077160494482,-6.562092763259087,0.4679012345679012,35,feature_vwap_slope_96
vwap_slope_96,1620,-0.028265899148795754,-0.0341139291791589,-5.404909417159143,-0.012133342207540672,-5.586675547817607,0.4580246913580247,36,feature_vwap_slope_96
vwap_slope_96,1620,-0.026420478808508223,-0.03136496232071956,-5.058211947532686,-0.012848480736556683,-2.574003725655285,0.47098765432098766,37,feature_vwap_slope_96
vwap_slope_96,1620,-0.02575915107091492,-0.029333117251438296,-4.896014637311948,-0.012960946058468046,-4.30180116781482,0.4660493827160494,38,feature_vwap_slope_96
vwap_slope_96,1620,-0.027526921167863188,-0.02944656024633336,-5.227840138418365,-0.013388386985970432,-3.2335752342954094,0.4567901234567901,39,feature_vwap_slope_96
vwap_slope_96,1620,-0.024933623193712156,-0.02161291629527591,-4.673252901588103,-0.012064442792711367,-2.0440741427150773,0.47901234567901235,40,feature_vwap_slope_96
