symbol,n_all,n_dec,ic_allbar,ic_dec,gross_bps,net_bps,gross_sh,net_sh,turnover,hit
ADAUSDT,74851,1559,0.015529318222416839,0.014726841906990378,2.512559413909912,0.9942784309387207,1.0360536512721916,0.4099526254730338,0.6747915148735046,0.5131494547787043
APTUSDT,74853,1559,0.046861491729552604,0.06337549667765635,1.15762460231781,-0.5973464846611023,0.34958430166561155,-0.18037374910975046,0.7799871563911438,0.4868505452212957
ARBUSDT,74851,1559,0.018774807809395642,0.03978285173479712,4.1481733322143555,2.8348312377929688,1.192272984180504,0.8148024066132393,0.5837075114250183,0.5208466966003849
ATOMUSDT,74851,1559,0.02789429634448543,-0.008530502701652122,2.769193649291992,1.3634848594665527,0.9675266036473198,0.4761422023743251,0.6247594356536865,0.5054522129570237
AVAXUSDT,74851,1559,-0.004511742006094082,0.010391421556829579,3.1435365676879883,1.7782385349273682,1.0616879890855384,0.600675496574651,0.6067992448806763,0.5060936497754971
BCHUSDT,74851,1559,-0.010468926952803945,-0.01541993597563262,-0.17772482335567474,-1.6815733909606934,-0.0737570250517611,-0.697504759313782,0.668377161026001,0.5054522129570237
BNBUSDT,74851,1559,0.05485444912260141,0.047579132138585715,3.7313761711120605,2.1467063426971436,2.138623407090757,1.229649852333413,0.7042976021766663,0.5169980756895446
DOGEUSDT,74851,1559,0.03302341339705566,0.02709510884547784,-0.0544615238904953,-1.4024407863616943,-0.02105371244039145,-0.5418359297003222,0.5991019606590271,0.5003207184092366
DOTUSDT,74851,1559,0.04306726984865219,0.02836892891578867,-2.1769018173217773,-3.8654837608337402,-0.7019732020980489,-1.2461651255130302,0.7504810690879822,0.48813341885824246
FILUSDT,74559,1553,0.05092152544106932,0.027359862719314964,0.19807885587215424,-1.0971558094024658,0.044034093797812264,-0.24396226222853723,0.575659990310669,0.48873148744365746
INJUSDT,74873,1560,0.01858418667449474,0.03316922543897899,-1.7746152877807617,-3.430384635925293,-0.4935875476236248,-0.9541308636663711,0.735897421836853,0.483974358974359
LINKUSDT,74851,1559,0.04814387311078195,0.033039549977763226,0.01147226057946682,-1.8387523889541626,0.004873787799365473,-0.780767347551941,0.8223220109939575,0.5163566388710712
LTCUSDT,74851,1559,0.059169457048092816,0.05059175691290786,6.769227027893066,5.2538323402404785,2.534143920336123,1.9666528199054294,0.6735086441040039,0.5240538806927517
NEARUSDT,74851,1559,0.024318756874736024,0.03544444571457466,-0.36079490184783936,-1.6972285509109497,-0.10615016260035345,-0.4990810745259298,0.5939704775810242,0.5060936497754971
OPUSDT,74851,1559,0.02104131291406552,0.014346939502055903,-2.0304620265960693,-3.407306432723999,-0.6111911511521905,-1.0251647475285433,0.6119307279586792,0.48749198203976907
RUNEUSDT,73984,1541,-0.012609417863009832,-0.002808409079356617,1.9719045162200928,0.8709959983825684,0.9182779364688753,0.4053484200600385,0.4892926812171936,0.508760545100584
SEIUSDT,74851,1559,-0.04147557841766104,-0.018090691636821764,-3.028069019317627,-4.514598846435547,-1.0966876383551878,-1.6366370994770596,0.6606799364089966,0.4964720974983964
SOLUSDT,74851,1559,0.006103925908218904,-0.003903949566426631,-0.13237182796001434,-1.4341678619384766,-0.0674173897087448,-0.7304820902092357,0.5785760283470154,0.4996792815907633
SUIUSDT,74851,1559,-0.006105418381208639,0.0135261867511944,5.333993911743164,3.8705556392669678,1.6930310213599093,1.2281204198559388,0.650416910648346,0.514432328415651
TIAUSDT,74851,1559,0.01924873955554763,0.00053972338858024,-3.168499231338501,-4.441430568695068,-0.8533804362582028,-1.1957260183856022,0.5657472610473633,0.4926234765875561
UNIUSDT,74851,1559,-0.04191548409525636,0.027576652578299356,3.2931251525878906,2.1356520652770996,0.9439566422937938,0.6121991505349278,0.5144323110580444,0.5093008338678641
WLDUSDT,74851,1559,-0.027257693057114875,-0.014680218263416187,-4.703489780426025,-6.198678970336914,-1.0161259637173234,-1.3391244777890257,0.6645285487174988,0.48620910840282233
XRPUSDT,74851,1559,0.0004349873820819613,-0.0015959417240533028,0.8383356928825378,-0.4230495095252991,0.41394905886111244,-0.20879527407830936,0.5606157779693604,0.504169339320077
