horizon,mono,q4_cc,q0_cc,spread_bps,spread_lo,spread_hi
4h,-0.19999999999999998,-0.053681682208144524,-0.041655386055076925,-2.62939466475897,-9.068313462364099,3.917787086449049
24h,0.09999999999999999,-0.026431309192399808,-0.030211053479431746,4.065422463889394,-10.713183959928692,19.722756019065788
72h,-0.6,-0.10325940803199891,-0.08772851442390733,-11.500184669241378,-37.86601697758001,17.95056648350142
