time,fold,active_sleeves,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,gross_exposure,net_exposure,n_symbols
2025-05-27 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-27 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-28 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-29 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-30 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-31 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-01 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 09:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 13:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 17:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-02 21:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-03 01:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-06-03 05:30:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
