variant,netSh,lo,hi,bps,rho,fp,p95
nested_selected,-1.053006001367587,-3.37452113819761,0.8266857029869148,-20.417857158740837,-0.09090909090909088,4,1.0470955235194397
sigstable3_hindsight,2.1934668417591636,0.46493333884728577,4.5243871222070995,49.629917956334985,0.7696969696969697,7,
twogrp_equal,2.31997798276214,0.11999852297524821,4.3545625397217105,52.71337013797768,0.8666666666666665,8,
