H1_long,H1_long_t,H1_short,H2_long,H2_long_t,H2_short,label,n
13.207005,0.7113771801416722,10.048908,-2.0068152,-0.35296357487859714,4.2391305,Ridge_V0,16
15.213777,0.8195231602017496,10.303847,-1.3798164,-0.2286635229634462,2.8058908,Ridge_V0+top3_cats,34
17.437502,0.9307460202972364,9.359931,-3.7817175,-0.6393667167514718,4.246674,Ridge_V0+top15_feats,31
16.07708,0.8610505783218058,9.974695,-2.676095,-0.45108654639586393,3.6349895,Ridge_V0+ALL_new,53
21.370869,1.1291252167596084,15.202002,-3.9264088,-0.6745633574128436,9.017575,LGBM_V0,16
16.803593,0.9029867868546149,23.05097,-8.446226,-1.4570006289577027,5.3485627,LGBM_V0+top3_cats,34
14.537418,0.7768580548748715,17.103401,-7.190147,-1.1262038759002548,12.48451,LGBM_V0+top15_feats,31
5.000384,0.2675007437785891,19.447617,-9.087587,-1.4611082397427912,8.99985,LGBM_V0+ALL_new,53
