excl_fold,sharpe,delta
1,-0.31025451268602855,0.5818393705783235
2,-0.9852471992220105,-0.09315331595765852
3,-1.221107394722074,-0.32901351145772206
4,-1.1732957515137727,-0.28120186824942073
5,-1.5585359360960738,-0.6664420528317218
6,-0.39600705412252635,0.49608682914182567
7,-0.5919612490529804,0.3001326342113716
8,-0.9015319341325732,-0.009438050868221137
9,-0.909400981082664,-0.017307097818311967
