symbol,gross_bps,on_hl
SIRENUSDT,12822.076376299563,False
SOLVUSDT,5163.8635848454815,False
AVAAIUSDT,3141.998809199624,False
JELLYJELLYUSDT,3060.464775529302,False
TSTUSDT,2940.5406431275583,True
SWARMSUSDT,2783.188571484061,False
BMTUSDT,2229.583556181751,False
HEIUSDT,2046.8685425779167,False
ZEREBROUSDT,1988.082151316727,False
USUALUSDT,1866.2979552876393,True
PIPPINUSDT,1755.374850763479,False
MELANIAUSDT,1725.9588775535428,True
AIXBTUSDT,1614.179432557042,True
ALCHUSDT,1496.229791234025,False
JTOUSDT,1404.1130603921674,True
DEXEUSDT,1298.3362791237594,False
ORCAUSDT,1290.6756254960778,False
MUBARAKUSDT,1251.7376292574527,False
SPXUSDT,1202.5890041453142,True
DEGOUSDT,1156.2775173903592,False
PUMPUSDT,1093.3681965737674,True
VANAUSDT,1071.6968121414538,False
SONICUSDT,1041.22451693911,False
AEROUSDT,1008.6724127177149,True
ASTERUSDT,1001.463979482649,True
PENGUUSDT,999.4942182675007,True
NILUSDT,986.8633946462069,True
UNIUSDT,873.728609488656,True
B3USDT,870.9161996860832,False
CGPTUSDT,861.6619401921829,False
GRIFFAINUSDT,830.9058216400448,True
BIDUSDT,782.1380485256669,False
VTHOUSDT,766.1049781988063,False
SHELLUSDT,758.4950723685323,False
PLUMEUSDT,745.9556385098642,False
JUPUSDT,702.7283373463433,True
MOCAUSDT,664.0996717032978,False
ANIMEUSDT,627.3480252518008,True
PHAUSDT,625.747156397362,False
GPSUSDT,620.0562039036109,False
TRBUSDT,598.2083902927114,True
SUSDT,487.7657400599372,True
APTUSDT,400.1157777383923,True
LAYERUSDT,380.29826110384096,True
ICPUSDT,353.5035268093144,True
INJUSDT,342.4780399654992,True
ONDOUSDT,222.70151413977146,True
COOKIEUSDT,221.86472274673474,False
TIAUSDT,180.78762649868926,True
LTCUSDT,176.18432175368073,True
HIVEUSDT,153.85543444608626,False
WLDUSDT,149.48613320787757,True
LINKUSDT,141.92722272127867,True
AVAXUSDT,137.70525251554014,True
ENAUSDT,136.1640901692833,True
ARBUSDT,123.6107712611556,True
PENDLEUSDT,123.54094399294519,True
TRUMPUSDT,118.07401623324644,True
VVVUSDT,116.6471256904814,True
BCHUSDT,113.82926206958176,True
TONUSDT,86.7267314849113,True
AAVEUSDT,78.92507089612381,True
MOVEUSDT,60.24974301302197,True
ADAUSDT,56.73502193531021,True
BNBUSDT,48.33214950243321,True
SOLUSDT,23.175153328338638,True
SEIUSDT,16.3276899062718,True
MEUSDT,7.244979497045136,True
NEARUSDT,-10.422659494603769,True
ETCUSDT,-19.007830511933804,True
ATOMUSDT,-61.48755977240701,True
LDOUSDT,-76.82693569222464,True
ETHUSDT,-84.4868079002481,True
XRPUSDT,-151.32629157354418,True
HBARUSDT,-176.72417762999734,True
FARTCOINUSDT,-189.10556294334452,True
DOGEUSDT,-189.2594863117362,True
RUNEUSDT,-209.7031058898817,True
DOTUSDT,-233.54406293947247,True
BROCCOLIF3BUSDT,-246.54663732993188,False
SUIUSDT,-305.7859372347593,True
HYPEUSDT,-322.7551416057396,True
PAXGUSDT,-356.09282317939994,True
BERAUSDT,-375.1451826731983,True
WIFUSDT,-378.7639011473705,True
RAYSOLUSDT,-381.32606850316137,False
KAITOUSDT,-397.51946877610584,True
GMXUSDT,-400.3653516216825,True
TUTUSDT,-551.890092707859,False
AI16ZUSDT,-621.0844204088062,False
OPUSDT,-828.3111177540073,True
STRKUSDT,-937.8535647798949,True
ARCUSDT,-971.9858692066438,False
WALUSDT,-1075.624803585621,False
TAOUSDT,-1076.0305171910052,True
VINEUSDT,-1085.3395604741925,True
BIOUSDT,-1227.4955630709887,True
IPUSDT,-1465.3457848832352,True
FILUSDT,-1537.4191322674346,True
VIRTUALUSDT,-1621.5662363295748,True
BROCCOLI714USDT,-1791.6916207953666,False
ZECUSDT,-1812.820234772516,True
KAIAUSDT,-1836.500904949692,False
AXSUSDT,-2085.1136049047154,True
PARTIUSDT,-2591.435251233631,False
FORMUSDT,-3264.6565571364304,False
REDUSDT,-3895.4340725952834,False
ORDIUSDT,-4275.712027301776,True
BANANAS31USDT,-4393.850710378806,False
BRUSDT,-4552.647730545989,False
