symbol,gross_bps,on_hl
TSTUSDT,4088.1669701290484,True
ANIMEUSDT,2033.8540243877405,True
USUALUSDT,1590.6537110034456,True
SPXUSDT,1561.4816427114424,True
LAYERUSDT,1365.4808865370187,True
UNIUSDT,1207.5795114894086,True
SEIUSDT,1192.5988967414019,True
OPUSDT,1049.9184231836505,True
PUMPUSDT,1025.3123734764813,True
FARTCOINUSDT,1016.0354031055855,True
MELANIAUSDT,1006.7576422200849,True
TIAUSDT,919.9233616042574,True
MOVEUSDT,910.2301581151553,True
JUPUSDT,834.9637799741081,True
NILUSDT,826.9500033202349,True
PENGUUSDT,818.8943665785097,True
ASTERUSDT,785.3614657506113,True
DOGEUSDT,747.3668930470012,True
TRBUSDT,703.9061613492474,True
APTUSDT,664.2625531336915,True
ONDOUSDT,637.4112334257613,True
AIXBTUSDT,624.8254502133931,True
PENDLEUSDT,554.3532393251853,True
ARBUSDT,507.64058406154317,True
GMXUSDT,491.07887311644527,True
GRIFFAINUSDT,480.38301834215696,True
MEUSDT,468.37576160517807,True
JTOUSDT,443.0951527077317,True
ETHUSDT,429.8467149142957,True
TONUSDT,424.77676420579303,True
BNBUSDT,383.9503658332431,True
PAXGUSDT,380.01720923906186,True
SUIUSDT,270.2143530283744,True
BCHUSDT,254.2075506516995,True
SUSDT,226.21242096647617,True
ETCUSDT,187.01263963521342,True
XRPUSDT,184.44362215935467,True
AAVEUSDT,128.1114270932448,True
ADAUSDT,-1.0887152166106495,True
TAOUSDT,-8.630290734193892,True
ATOMUSDT,-60.952719359192926,True
LINKUSDT,-128.36864295726016,True
INJUSDT,-140.78740161494358,True
WIFUSDT,-164.39243823697333,True
AVAXUSDT,-172.04293990895766,True
DOTUSDT,-190.42182286890846,True
NEARUSDT,-198.11835518339643,True
LTCUSDT,-208.12612521694967,True
SOLUSDT,-240.74599592798526,True
RUNEUSDT,-250.925928655003,True
AEROUSDT,-320.71589424352317,True
HBARUSDT,-377.02164301663305,True
LDOUSDT,-383.303460936683,True
ENAUSDT,-470.98169627133785,True
VIRTUALUSDT,-517.1801134186657,True
KAITOUSDT,-693.3343422861072,True
WLDUSDT,-742.8875275945761,True
BERAUSDT,-832.8776434670237,True
VINEUSDT,-836.2621421110822,True
TRUMPUSDT,-861.021787495702,True
HYPEUSDT,-1172.253936250248,True
STRKUSDT,-1255.1421648822725,True
FILUSDT,-1406.5488835467474,True
ICPUSDT,-1493.858492564565,True
IPUSDT,-2186.935385761899,True
AXSUSDT,-2196.9175563087147,True
ORDIUSDT,-4122.250502744768,True
BIOUSDT,-4537.861770440936,True
VVVUSDT,-5662.244498353179,True
ZECUSDT,-6085.431568608332,True
