symbol,gross_bps,on_hl
BROCCOLIF3BUSDT,4592.6076771381,False
ZEREBROUSDT,3818.6101776470127,False
SOLVUSDT,3521.7878028439977,False
GPSUSDT,3120.105304721316,False
TSTUSDT,2617.817045102128,True
MELANIAUSDT,2274.9581618700176,True
USUALUSDT,2234.3391844090843,True
BROCCOLI714USDT,2219.3111258093263,False
AVAAIUSDT,2032.3562830647757,False
PLUMEUSDT,2018.3331678466245,False
VANAUSDT,1903.8229967433529,False
PHAUSDT,1726.4666646709281,False
GRIFFAINUSDT,1713.2233944721522,True
LAYERUSDT,1673.3545728008417,True
BMTUSDT,1525.3848237140726,False
MUBARAKUSDT,1473.0676692367226,False
DEGOUSDT,1453.4933978575273,False
MOCAUSDT,1373.0517890265521,False
SHELLUSDT,1299.9995176202594,False
JTOUSDT,1287.6073337974956,True
WALUSDT,1240.3778735536737,False
AEROUSDT,1142.2059954687336,True
FORMUSDT,1121.567557468855,False
JUPUSDT,1024.0563137146332,True
AIXBTUSDT,988.7646392356451,True
SUSDT,964.7677832981569,True
PUMPUSDT,964.4210348536338,True
MOVEUSDT,891.6944031079763,True
VTHOUSDT,850.6036462495103,False
SPXUSDT,824.5335208872956,True
DEXEUSDT,708.7760810585073,False
TRBUSDT,630.7433291415994,True
UNIUSDT,605.7256937007577,True
APTUSDT,582.0623980738069,True
FARTCOINUSDT,580.9886718634517,True
NILUSDT,545.2212862534604,True
HIVEUSDT,518.6762538748252,False
ARBUSDT,518.1110533885658,True
NEARUSDT,500.0815870395551,True
TIAUSDT,499.4099511532111,True
OPUSDT,482.8171691527434,True
RAYSOLUSDT,480.7670204900204,False
ANIMEUSDT,471.2214030162918,True
ETHUSDT,459.7930747695499,True
B3USDT,445.3379822371062,False
ONDOUSDT,420.44094768546836,True
DOTUSDT,391.48567331722,True
BCHUSDT,386.16576716473594,True
CGPTUSDT,371.5496510267258,False
PARTIUSDT,360.7947890607948,False
SEIUSDT,354.79474486540596,True
TUTUSDT,284.44847060351685,False
MEUSDT,281.36409469880135,True
XRPUSDT,277.0728965939876,True
TONUSDT,276.3747720746323,True
COOKIEUSDT,249.97910562281803,False
ETCUSDT,166.22691505593446,True
ORCAUSDT,115.56888507281343,False
SUIUSDT,102.09996301758406,True
RUNEUSDT,57.39623835931218,True
AI16ZUSDT,49.09562684285106,False
LTCUSDT,14.55959815454357,True
PAXGUSDT,-3.7077755284068488,True
ADAUSDT,-4.6952261376039495,True
PENGUUSDT,-15.46244796675937,True
GMXUSDT,-38.52360988579082,True
HEIUSDT,-58.376193240595555,False
INJUSDT,-68.82415662403226,True
IPUSDT,-80.70677160503664,True
BNBUSDT,-82.18388673109676,True
LINKUSDT,-83.9881696932328,True
SONICUSDT,-86.25760014789807,False
ATOMUSDT,-108.44449367141338,True
KAITOUSDT,-108.99438442720604,True
SOLUSDT,-116.11173661852571,True
WIFUSDT,-144.33002688747374,True
ASTERUSDT,-147.0089644135444,True
AAVEUSDT,-153.2416317301492,True
HBARUSDT,-183.59522126653857,True
TAOUSDT,-242.71234460078037,True
AVAXUSDT,-334.37257816937455,True
ENAUSDT,-403.3187706954775,True
WLDUSDT,-444.82417996429496,True
DOGEUSDT,-481.369715174272,True
LDOUSDT,-665.5132575542664,True
VINEUSDT,-709.7960463336975,True
HYPEUSDT,-757.4870510870821,True
PENDLEUSDT,-871.2042759968118,True
ICPUSDT,-919.7384567960402,True
STRKUSDT,-986.2485698249656,True
SWARMSUSDT,-1062.554509650605,False
REDUSDT,-1129.294805068639,False
BIDUSDT,-1194.3286194158043,False
BERAUSDT,-1227.0774513308427,True
BANANAS31USDT,-1351.8978057739641,False
ALCHUSDT,-1382.4627909586216,False
TRUMPUSDT,-1557.0028737420207,True
KAIAUSDT,-1625.1844678966638,False
FILUSDT,-1682.7539715935322,True
VIRTUALUSDT,-1850.0394748601434,True
ZECUSDT,-2196.9955865339834,True
BIOUSDT,-2370.225455936937,True
PIPPINUSDT,-2754.5626420275457,False
AXSUSDT,-2963.4787508985023,True
ORDIUSDT,-3348.9982131383535,True
BRUSDT,-3616.747058719437,False
VVVUSDT,-3723.283769186309,True
SIRENUSDT,-5500.800606047657,False
ARCUSDT,-6163.205586684246,False
JELLYJELLYUSDT,-9624.470677226776,False
