symbol,gross_bps,on_hl
TSTUSDT,3317.9939097559936,True
GRIFFAINUSDT,2728.9680251851696,True
MELANIAUSDT,2134.4959894971303,True
AIXBTUSDT,1924.936224192303,True
ZECUSDT,1696.517660639073,True
ENAUSDT,1662.0907508816642,True
PUMPUSDT,1478.912619919962,True
USUALUSDT,1412.4172225638179,True
UNIUSDT,1348.607965822642,True
SPXUSDT,1281.0390524100508,True
JUPUSDT,1029.5808170515866,True
ANIMEUSDT,865.716878476329,True
AEROUSDT,852.8402327162131,True
APTUSDT,803.9595801286243,True
INJUSDT,689.206814568024,True
FARTCOINUSDT,635.0296298235965,True
PENGUUSDT,576.5345527349075,True
BNBUSDT,541.1257600887137,True
NILUSDT,477.0126086805251,True
BERAUSDT,456.42359124030895,True
PENDLEUSDT,454.3095561287679,True
NEARUSDT,440.7927443389783,True
GMXUSDT,412.68357790613663,True
AAVEUSDT,382.51278415070067,True
LAYERUSDT,376.8900902772051,True
ADAUSDT,374.3066634827604,True
ONDOUSDT,274.78911346406676,True
SEIUSDT,212.69243734423074,True
DOGEUSDT,211.78950751467104,True
WIFUSDT,196.52477184232941,True
ASTERUSDT,163.0216308573537,True
MOVEUSDT,159.5498556465223,True
ARBUSDT,125.03663388391334,True
LTCUSDT,98.59049666071469,True
ATOMUSDT,91.58598615613298,True
TONUSDT,74.42809072927058,True
PAXGUSDT,74.16876920009045,True
XRPUSDT,48.40731121172819,True
HBARUSDT,35.11927565947799,True
RUNEUSDT,-18.786819612917846,True
TRBUSDT,-39.22393954174682,True
ETCUSDT,-45.0964164338074,True
AVAXUSDT,-57.34627309720966,True
TAOUSDT,-127.80287693506885,True
LINKUSDT,-156.27660604271418,True
SOLUSDT,-173.01306535955536,True
LDOUSDT,-192.15326297853585,True
TRUMPUSDT,-197.58324515957318,True
ETHUSDT,-332.8450916160362,True
DOTUSDT,-334.4196341155718,True
TIAUSDT,-359.6130036748945,True
KAITOUSDT,-428.707570342036,True
SUIUSDT,-560.8033248184558,True
VIRTUALUSDT,-572.042405644121,True
WLDUSDT,-584.4241886613113,True
BCHUSDT,-601.6370998956212,True
JTOUSDT,-615.3186377438637,True
ICPUSDT,-800.8873339955857,True
MEUSDT,-940.4641026291454,True
OPUSDT,-968.0794763456407,True
VVVUSDT,-1071.3915645950087,True
HYPEUSDT,-1118.6393394139793,True
SUSDT,-1127.7165351202707,True
FILUSDT,-1342.2375923255456,True
AXSUSDT,-1661.6628786505323,True
IPUSDT,-2281.164464601108,True
STRKUSDT,-2709.344084026575,True
ORDIUSDT,-3580.2825431164824,True
BIOUSDT,-4529.472776096857,True
VINEUSDT,-5121.202437403551,True
