symbol,gross_bps,on_hl
SIRENUSDT,11753.329113950402,False
SOLVUSDT,4817.460069534716,False
TSTUSDT,2874.6901605336466,True
AVAAIUSDT,2754.9623177037565,False
GPSUSDT,2542.5984065198772,False
AIXBTUSDT,2432.1456433487283,True
BMTUSDT,2111.3652742739455,False
FARTCOINUSDT,1939.0258002871026,True
PIPPINUSDT,1742.282557097495,False
SWARMSUSDT,1589.7897407558044,False
MUBARAKUSDT,1534.173937300996,False
USUALUSDT,1532.4426544611927,True
ZEREBROUSDT,1515.323060981852,False
ALCHUSDT,1451.7701593285894,False
PUMPUSDT,1450.3008556736554,True
MELANIAUSDT,1424.7870253166182,True
DEXEUSDT,1181.2208297669713,False
BRUSDT,1167.1308855420632,False
AEROUSDT,1005.0847605452873,True
VANAUSDT,993.0808512823813,False
JUPUSDT,967.1495226211846,True
UNIUSDT,966.1212190985678,True
CGPTUSDT,912.6948126746962,False
PENGUUSDT,810.0412519002019,True
MOCAUSDT,786.3454446972657,False
RAYSOLUSDT,757.4123625333109,False
PLUMEUSDT,594.8295807199117,False
INJUSDT,580.9035261821311,True
SONICUSDT,580.6381579410905,False
ORCAUSDT,573.9061433875274,False
TONUSDT,573.7255431207207,True
MOVEUSDT,560.6000407230265,True
HEIUSDT,545.8079824650972,False
NILUSDT,529.4557970773894,True
VTHOUSDT,529.4079469361652,False
COOKIEUSDT,507.8099400270731,False
WLDUSDT,445.37406375942123,True
HIVEUSDT,416.86321033618384,False
SPXUSDT,413.968553863621,True
AI16ZUSDT,391.47818328577466,False
SUSDT,381.7733709001914,True
TRBUSDT,377.32622178737074,True
ENAUSDT,370.0478405031998,True
ARBUSDT,266.6027517989278,True
SOLUSDT,265.7265863187301,True
JTOUSDT,245.1354276854543,True
ONDOUSDT,238.82939790685973,True
ASTERUSDT,229.41040107980402,True
NEARUSDT,194.55928588286034,True
DOGEUSDT,194.29385477754596,True
AVAXUSDT,187.4630347204705,True
PAXGUSDT,182.4430336879839,True
ANIMEUSDT,170.7486345124683,True
DOTUSDT,169.9616868669788,True
WALUSDT,165.00356705667696,False
APTUSDT,149.43165704607964,True
SEIUSDT,138.3022832063337,True
BNBUSDT,113.82714568753723,True
B3USDT,113.38674696162317,False
BCHUSDT,93.97370095636383,True
PARTIUSDT,91.75442675162506,False
SHELLUSDT,91.59295190935744,False
PENDLEUSDT,82.45346931895861,True
KAITOUSDT,66.48873424031387,True
TIAUSDT,57.18104386081297,True
ADAUSDT,49.32296573921728,True
ATOMUSDT,-10.053623118437802,True
XRPUSDT,-55.74440661196909,True
FILUSDT,-63.178666556875115,True
AAVEUSDT,-63.64792818203571,True
LINKUSDT,-94.64775755380589,True
GRIFFAINUSDT,-96.36081328305053,True
MEUSDT,-128.23137765129422,True
LTCUSDT,-179.31914965932563,True
ETCUSDT,-192.60599588354432,True
WIFUSDT,-194.7323987648512,True
HBARUSDT,-201.35831863929835,True
RUNEUSDT,-223.37332717143,True
ETHUSDT,-236.31789197679603,True
BIDUSDT,-239.79756018282654,False
LAYERUSDT,-281.4339557274555,True
TRUMPUSDT,-285.9855468462534,True
OPUSDT,-301.9919894480457,True
SUIUSDT,-344.94280815124506,True
ZECUSDT,-413.19090785691446,True
LDOUSDT,-442.0255836642658,True
TAOUSDT,-611.2130359785324,True
ICPUSDT,-633.299948337178,True
BROCCOLIF3BUSDT,-671.4632281606707,False
HYPEUSDT,-704.3347294287138,True
DEGOUSDT,-735.630994943981,False
VINEUSDT,-782.1182329280421,True
PHAUSDT,-941.6203778528143,False
KAIAUSDT,-975.195233283254,False
GMXUSDT,-1093.9391943005226,True
STRKUSDT,-1181.3950533784619,True
VVVUSDT,-1192.7139125570347,True
BIOUSDT,-1272.4035446687292,True
BERAUSDT,-1335.5160446371883,True
VIRTUALUSDT,-1382.7770630208145,True
FORMUSDT,-1513.4891718601777,False
IPUSDT,-2091.8091046208538,True
TUTUSDT,-2164.5092012128457,False
AXSUSDT,-2413.1047257348346,True
BROCCOLI714USDT,-3231.0666488289517,False
BANANAS31USDT,-3296.661191125165,False
ARCUSDT,-3437.1414315319284,False
ORDIUSDT,-4396.904071618335,True
REDUSDT,-4477.808804828479,False
JELLYJELLYUSDT,-5832.891315318796,False
