symbol,fold,feature,ic
ADAUSDT,9,oi_chg_1h_n,0.008458991003421805
ADAUSDT,9,oi_chg_4h_n,0.013349210822368267
ADAUSDT,9,oi_chg_1d_n,-0.0063322307011998286
ADAUSDT,9,oi_z_1d_n,0.01667391586661805
ADAUSDT,9,oi_z_7d_n,-0.0003474603011340766
ADAUSDT,9,oiv_z_1d_n,0.01105703223277688
ADAUSDT,9,ls_count_z_1d_n,-0.018809010505345652
ADAUSDT,9,ls_count_chg_4h_n,-0.029612909446223443
ADAUSDT,9,ls_top_z_1d_n,-0.00955462527783903
ADAUSDT,9,ls_taker_z_1d_n,-0.009461633382852398
ADAUSDT,9,ls_taker_chg_4h_n,-0.006384074784132288
APTUSDT,1,oi_chg_1h_n,-0.03336544738819504
APTUSDT,1,oi_chg_4h_n,-0.008349338834538804
APTUSDT,1,oi_chg_1d_n,-0.014343278293182837
APTUSDT,1,oi_z_1d_n,-0.018391864994188056
APTUSDT,1,oi_z_7d_n,-0.042156891088788014
APTUSDT,1,oiv_z_1d_n,0.04999062087243089
APTUSDT,1,ls_count_z_1d_n,-0.028595542795536995
APTUSDT,1,ls_count_chg_4h_n,-0.09904437654609707
APTUSDT,1,ls_top_z_1d_n,0.13044107701709876
APTUSDT,1,ls_taker_z_1d_n,0.003906921959340284
APTUSDT,1,ls_taker_chg_4h_n,0.00590187263508872
APTUSDT,2,oi_chg_1h_n,-0.044173724137340206
APTUSDT,2,oi_chg_4h_n,-0.07470076597329496
APTUSDT,2,oi_chg_1d_n,-0.03877808417505996
APTUSDT,2,oi_z_1d_n,-0.020967673535759013
APTUSDT,2,oi_z_7d_n,-0.030940282642224256
APTUSDT,2,oiv_z_1d_n,0.03455563970042509
APTUSDT,2,ls_count_z_1d_n,-0.026991170023293643
APTUSDT,2,ls_count_chg_4h_n,-0.08350092003531641
APTUSDT,2,ls_top_z_1d_n,0.14257126819776486
APTUSDT,2,ls_taker_z_1d_n,0.003959658595916295
APTUSDT,2,ls_taker_chg_4h_n,0.00316450581388406
APTUSDT,3,oi_chg_1h_n,-0.037414063366290246
APTUSDT,3,oi_chg_4h_n,-0.059762451640182575
APTUSDT,3,oi_chg_1d_n,-0.0346861848394109
APTUSDT,3,oi_z_1d_n,-0.006195198491409103
APTUSDT,3,oi_z_7d_n,-0.017485860072536268
APTUSDT,3,oiv_z_1d_n,0.024488735423717954
APTUSDT,3,ls_count_z_1d_n,-0.022681102708875207
APTUSDT,3,ls_count_chg_4h_n,-0.06492484480785973
APTUSDT,3,ls_top_z_1d_n,0.09160447991643829
APTUSDT,3,ls_taker_z_1d_n,0.006802893709188299
APTUSDT,3,ls_taker_chg_4h_n,0.005599166419628761
APTUSDT,4,oi_chg_1h_n,-0.03266752884453589
APTUSDT,4,oi_chg_4h_n,-0.05189590047377171
APTUSDT,4,oi_chg_1d_n,-0.027237760616202332
APTUSDT,4,oi_z_1d_n,-0.0022902469368518167
APTUSDT,4,oi_z_7d_n,-0.019300507006555122
APTUSDT,4,oiv_z_1d_n,0.019134982787173745
APTUSDT,4,ls_count_z_1d_n,-0.013147093923140197
APTUSDT,4,ls_count_chg_4h_n,-0.05371910247351243
APTUSDT,4,ls_top_z_1d_n,0.07109295473001638
APTUSDT,4,ls_taker_z_1d_n,0.008646409996857035
APTUSDT,4,ls_taker_chg_4h_n,0.007940373367064246
APTUSDT,5,oi_chg_1h_n,-0.05420707835727634
APTUSDT,5,oi_chg_4h_n,-0.11288105461818962
APTUSDT,5,oi_chg_1d_n,-0.03983059312269867
APTUSDT,5,oi_z_1d_n,-0.011719892408707787
APTUSDT,5,oi_z_7d_n,-0.035857977686090614
APTUSDT,5,oiv_z_1d_n,-0.004842524966100164
APTUSDT,5,ls_count_z_1d_n,-0.015751252662665433
APTUSDT,5,ls_count_chg_4h_n,-0.06287363858035841
APTUSDT,5,ls_top_z_1d_n,0.04497224121755533
APTUSDT,5,ls_taker_z_1d_n,0.008991159604858752
APTUSDT,5,ls_taker_chg_4h_n,0.00047167706244044305
APTUSDT,6,oi_chg_1h_n,-0.02996331882858478
APTUSDT,6,oi_chg_4h_n,-0.10749019541107555
APTUSDT,6,oi_chg_1d_n,-0.040271491020394484
APTUSDT,6,oi_z_1d_n,-0.033958049988920186
APTUSDT,6,oi_z_7d_n,-0.04994222936999581
APTUSDT,6,oiv_z_1d_n,-0.011319496101159057
APTUSDT,6,ls_count_z_1d_n,0.0034811308328780983
APTUSDT,6,ls_count_chg_4h_n,-0.038658987707747616
APTUSDT,6,ls_top_z_1d_n,0.029770924916731792
APTUSDT,6,ls_taker_z_1d_n,0.014564307756346017
APTUSDT,6,ls_taker_chg_4h_n,0.0018235725131138059
APTUSDT,7,oi_chg_1h_n,-0.03381810900688428
APTUSDT,7,oi_chg_4h_n,-0.09988826172581963
APTUSDT,7,oi_chg_1d_n,-0.030180801368632302
APTUSDT,7,oi_z_1d_n,-0.03176789639788731
APTUSDT,7,oi_z_7d_n,-0.034485798038489036
APTUSDT,7,oiv_z_1d_n,0.0043506594773749865
APTUSDT,7,ls_count_z_1d_n,-0.004461049683670824
APTUSDT,7,ls_count_chg_4h_n,-0.03504964813895648
APTUSDT,7,ls_top_z_1d_n,0.02884179155793936
APTUSDT,7,ls_taker_z_1d_n,0.012876694059466303
APTUSDT,7,ls_taker_chg_4h_n,0.0006063056312681274
APTUSDT,8,oi_chg_1h_n,-0.02894795635999064
APTUSDT,8,oi_chg_4h_n,-0.10043453390709785
APTUSDT,8,oi_chg_1d_n,-0.02866872407079763
APTUSDT,8,oi_z_1d_n,-0.028667505668719753
APTUSDT,8,oi_z_7d_n,-0.033126228226269094
APTUSDT,8,oiv_z_1d_n,-0.00047509200673338624
APTUSDT,8,ls_count_z_1d_n,-0.002661589336058958
APTUSDT,8,ls_count_chg_4h_n,-0.03314314565534172
APTUSDT,8,ls_top_z_1d_n,0.024568050116465116
APTUSDT,8,ls_taker_z_1d_n,0.013527323211780566
APTUSDT,8,ls_taker_chg_4h_n,0.0034461637897280403
APTUSDT,9,oi_chg_1h_n,-0.031406180009954696
APTUSDT,9,oi_chg_4h_n,-0.09336379070553952
APTUSDT,9,oi_chg_1d_n,-0.02744370974648112
APTUSDT,9,oi_z_1d_n,-0.02896555361687613
APTUSDT,9,oi_z_7d_n,-0.03661735565751111
APTUSDT,9,oiv_z_1d_n,-0.01102978972192063
APTUSDT,9,ls_count_z_1d_n,-0.014123832826434545
APTUSDT,9,ls_count_chg_4h_n,-0.03831993387098951
APTUSDT,9,ls_top_z_1d_n,0.021109781722113353
APTUSDT,9,ls_taker_z_1d_n,0.012412437688599032
APTUSDT,9,ls_taker_chg_4h_n,0.0031331896076212773
ARBUSDT,1,oi_chg_1h_n,-0.011461038330690261
ARBUSDT,1,oi_chg_4h_n,0.02604384838176746
ARBUSDT,1,oi_chg_1d_n,0.04372348097887961
ARBUSDT,1,oi_z_1d_n,0.022415053714378026
ARBUSDT,1,oi_z_7d_n,0.01240462563786183
ARBUSDT,1,oiv_z_1d_n,0.13762220457939553
ARBUSDT,1,ls_count_z_1d_n,-0.006309544319366387
ARBUSDT,1,ls_count_chg_4h_n,-0.007993296899610718
ARBUSDT,1,ls_top_z_1d_n,0.023421073235411052
ARBUSDT,1,ls_taker_z_1d_n,-0.008738064153655679
ARBUSDT,1,ls_taker_chg_4h_n,-0.012958399940597744
ARBUSDT,2,oi_chg_1h_n,-0.04765064604624401
ARBUSDT,2,oi_chg_4h_n,-0.02573272895462612
ARBUSDT,2,oi_chg_1d_n,-0.03501845844608358
ARBUSDT,2,oi_z_1d_n,-0.020794025180747813
ARBUSDT,2,oi_z_7d_n,-0.012637270112427396
ARBUSDT,2,oiv_z_1d_n,0.07320340304479306
ARBUSDT,2,ls_count_z_1d_n,0.006284725825668205
ARBUSDT,2,ls_count_chg_4h_n,-0.0048056970969437215
ARBUSDT,2,ls_top_z_1d_n,0.0286683448758794
ARBUSDT,2,ls_taker_z_1d_n,0.0047907044630947256
ARBUSDT,2,ls_taker_chg_4h_n,-0.006780237589748385
ARBUSDT,3,oi_chg_1h_n,-0.021055544952679927
ARBUSDT,3,oi_chg_4h_n,-0.00363074867490869
ARBUSDT,3,oi_chg_1d_n,-0.00458369899435763
ARBUSDT,3,oi_z_1d_n,-0.010443824900773049
ARBUSDT,3,oi_z_7d_n,0.0014143947545224
ARBUSDT,3,oiv_z_1d_n,0.06720737971954338
ARBUSDT,3,ls_count_z_1d_n,0.034406282903842636
