symbol,feature,same_sign_frac,mean_ic
DOGEUSDT,ls_taker_z_1d_n,0.6666666666666666,0.001454269475980873
DOGEUSDT,ls_top_z_1d_n,1.0,-0.04234692127963578
DOGEUSDT,oi_chg_1d_n,0.5555555555555556,-0.0006375687395137824
DOGEUSDT,oi_chg_1h_n,0.8888888888888888,0.017906486942005997
DOGEUSDT,oi_chg_4h_n,0.8888888888888888,0.027849662059337324
DOGEUSDT,oi_z_1d_n,1.0,-0.020294223758311847
DOGEUSDT,oi_z_7d_n,1.0,0.05368719844568039
DOGEUSDT,oiv_z_1d_n,0.8888888888888888,0.01813398038704083
DOTUSDT,ls_count_chg_4h_n,0.8888888888888888,-0.08098270228310021
DOTUSDT,ls_count_z_1d_n,0.7777777777777778,-0.018972689523916158
DOTUSDT,ls_taker_chg_4h_n,0.7777777777777778,-0.0029876382503310596
DOTUSDT,ls_taker_z_1d_n,1.0,0.0038835609878258254
DOTUSDT,ls_top_z_1d_n,1.0,0.02749148783795144
DOTUSDT,oi_chg_1d_n,0.5555555555555556,-0.0003287589193081188
DOTUSDT,oi_chg_1h_n,1.0,-0.04483118329467705
DOTUSDT,oi_chg_4h_n,1.0,-0.08352787891532258
DOTUSDT,oi_z_1d_n,0.6666666666666666,-0.00875612501609765
DOTUSDT,oi_z_7d_n,0.5555555555555556,-0.013593091729863385
DOTUSDT,oiv_z_1d_n,1.0,0.015734316994228458
FILUSDT,ls_count_chg_4h_n,1.0,-0.02465997370793334
FILUSDT,ls_count_z_1d_n,1.0,-0.05652174341105671
FILUSDT,ls_taker_chg_4h_n,1.0,-0.008250520023482427
FILUSDT,ls_taker_z_1d_n,1.0,-0.007249305248727651
FILUSDT,ls_top_z_1d_n,0.5555555555555556,-0.012019652635555073
FILUSDT,oi_chg_1d_n,0.7777777777777778,0.0529804880211718
FILUSDT,oi_chg_1h_n,0.8888888888888888,0.04254439002142722
FILUSDT,oi_chg_4h_n,0.7777777777777778,0.05984397062383732
FILUSDT,oi_z_1d_n,0.6666666666666666,0.007011072682369924
FILUSDT,oi_z_7d_n,1.0,0.04843108284270286
FILUSDT,oiv_z_1d_n,0.6666666666666666,0.02225167953706375
INJUSDT,ls_count_chg_4h_n,1.0,-0.04407188237955372
INJUSDT,ls_count_z_1d_n,1.0,-0.025387911907491997
INJUSDT,ls_taker_chg_4h_n,0.5555555555555556,-0.0006716804476637121
INJUSDT,ls_taker_z_1d_n,0.8888888888888888,0.00337919058979283
INJUSDT,ls_top_z_1d_n,1.0,-0.033306869671419825
INJUSDT,oi_chg_1d_n,1.0,-0.06004629951703745
INJUSDT,oi_chg_1h_n,0.7777777777777778,-0.030746128888433113
INJUSDT,oi_chg_4h_n,1.0,-0.07701684156402154
INJUSDT,oi_z_1d_n,1.0,-0.05447516747667771
INJUSDT,oi_z_7d_n,0.7777777777777778,-0.06028478015083733
INJUSDT,oiv_z_1d_n,1.0,0.017473097851813287
LINKUSDT,ls_count_chg_4h_n,1.0,-0.0656710724904689
LINKUSDT,ls_count_z_1d_n,1.0,-0.033923716137822454
LINKUSDT,ls_taker_chg_4h_n,1.0,-0.009203108923988524
LINKUSDT,ls_taker_z_1d_n,0.5555555555555556,-0.0008464764642658099
LINKUSDT,ls_top_z_1d_n,0.7777777777777778,-0.001775606390723013
LINKUSDT,oi_chg_1d_n,1.0,0.019956990301947235
LINKUSDT,oi_chg_1h_n,0.8888888888888888,0.012425368992203855
LINKUSDT,oi_chg_4h_n,0.6666666666666666,0.007322054243730513
LINKUSDT,oi_z_1d_n,0.7777777777777778,0.011251272924969547
LINKUSDT,oi_z_7d_n,0.7777777777777778,0.006710120707458059
LINKUSDT,oiv_z_1d_n,1.0,0.018158274466593502
LTCUSDT,ls_count_chg_4h_n,1.0,-0.09205158132090431
LTCUSDT,ls_count_z_1d_n,1.0,-0.05881638814154803
