symbol,n,ic_ridge,ic_signed
ADAUSDT,74851,0.015529318222416839,0.035366052824893565
APTUSDT,74853,0.046861491729552604,0.03592069781159657
ARBUSDT,74851,0.018774807809395642,0.003068612703075707
ATOMUSDT,74851,0.02789429634448543,-0.05042165297150325
AVAXUSDT,74851,-0.004511742006094082,0.020607128638668676
BCHUSDT,74851,-0.010468926952803945,0.00679839503329716
BNBUSDT,74851,0.05485444912260141,0.05944435463183409
DOGEUSDT,74851,0.03302341339705566,0.01673215929236952
DOTUSDT,74851,0.04306726984865219,0.01963292907424556
FILUSDT,74559,0.05092152544106932,-0.03227399726476736
INJUSDT,74873,0.01858418667449474,0.039758150852018524
LINKUSDT,74851,0.04814387311078195,0.02114357241966432
LTCUSDT,74851,0.059169457048092816,0.06692245386965423
NEARUSDT,74851,0.024318756874736024,0.027143518649157834
OPUSDT,74851,0.02104131291406552,0.06456042474104112
RUNEUSDT,73984,-0.012609417863009832,-0.005838916983937076
SEIUSDT,74851,-0.04147557841766104,-0.008967967581058106
SOLUSDT,74851,0.006103925908218904,-0.015139352119986186
SUIUSDT,74851,-0.006105418381208639,0.009455102697595039
TIAUSDT,74851,0.01924873955554763,0.005287576557009459
UNIUSDT,74851,-0.04191548409525636,-0.07454416696556827
WLDUSDT,74851,-0.027257693057114875,-0.02565374042268908
XRPUSDT,74851,0.0004349873820819613,0.02499515447736666
